id,jobTitle,location,category,jobRequirements,link
39,Software Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Science, Programming or Engineering related field / Elite unit alumni
5+ years of experience in Java\C#\C++
Backend server programming (multithreaded programming, performance tuning)
Excellent design and analytical skills
High ability to use new technologies and understand them in depth through rapid self-learning
Thorough and methodical approach to any task
Proactive by nature; internal drive for excellence and improvement
Creative, out of the box thinking
Great interpersonal relations, team player",https://careers.cyberark.com/job/Petach-Tikva-Software-Engineer/643977901/
40,Senior Software Engineer for Serverless Application (AWS),"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Computer Science or Engineering related field / technology Elite unit alumni with relevant experience
5+ years of experience in Python/Go/ Node/Ruby/Java/C#/C++ (Python is a definite advantage)
Desire to use new technologies and understand them in depth
Passionate about code design, high-quality code and code reviews, optimizing and challenging the status quo.
Proactive by nature; internal drive for excellence and improvement
Good communication skills, fluent in English, good writing skills",https://careers.cyberark.com/job/Petach-Tikva-Senior-Python-Engineer/640331301/
41,DevOps Engineer,"Petach Tikva, Israel",  R&D,"3+ years of experience as a DevOps engineer
Experience automating deployments with modern configuration and deployment management systems (e.g. Ansible, Puppet, Chef, Docker, Kubernetes etc.).
Experience with CI solutions and source control management tools  (e.g. Jenkins, Git).
Knowledge in AWS Cloud environment
Familiarity with Serverless architecture, tools and deployment strategies
Great interpersonal relations, team player
Good script skills - Bash and Python
Strong hands-on technical abilities
Proactive by nature; internal drive for excellence and improvement
Thorough and methodical approach to any task
Strong ability to use new technologies and understand them in depth through rapid self-learning
Full time position
Fluent in English, good writing skills",https://careers.cyberark.com/job/Petach-Tikva-DevOps-Engineer/640339601/
42,Technical Writer,"Petach Tikva, Israel",  Product Management,,https://careers.cyberark.com/job/Petach-Tikva-Technical-Writer/647280901/
43,Head of R&D Compliance,"Petach Tikva, Israel",  R&D,"Great technical understanding of complex systems 
Deep understanding of the compliance world, mainly around security standards
Great communication skills 
Influence without authority 
At least 5 years of experience in the SW compliance industry 
  Advantage
Solution Architect experience or similar ",https://careers.cyberark.com/job/Petach-Tikva-Cloud-System-Architect/640048601/
44,Talent Acquisition Partner,"Petach Tikva, Israel",  HR & Admin,,https://careers.cyberark.com/job/Petach-Tikva-Talent-Acquisition-Partner/655164401/
45,UI Designer,"Petach Tikva, Israel",  R&D,"Senior UI designer with over 5 years of experience
Experience in working for large organizations specialized in complex operational B2B systems
Expertise in standard UI design tools such as Figma, Sketch, Adobe.
Knowledge and experience in working with design infrastructure and components libraries
Updated portfolio  
Knowledge in UX process (an advantage)  
Relevant academic qualifications or equivalent
Fluent English",https://careers.cyberark.com/job/Petach-Tikva-UI-Designer/654124001/
46,UX Expert (Recruiter-Shira Rottensterich shitrit),"Petach Tikva, Israel",  R&D,"Minimum 5 years professional UX design experience 
Experience working as a UX team member in a large organization
Vast experience in configuring and characterizing enterprise (B2B) on-premise and cloud applications – a must
Proven ability to lead strategic UX projects across the organization, from top executives down to the last developers – a must
Excellent visualization skills and problem-solving skills with the ability to create precise mockups and detailed UX design
Excellent communication skills, self-learning and with a high-level attention to details
Experience working closely with Product Managers and UI designers
English proficiency 
Willingness to travel (2-3 times a year)",https://careers.cyberark.com/job/Petach-Tikva-UX-Expert-%28Recruiter-Shira-Rottensterich-shitrit%29/650812401/
47,IP Manager,"Petach Tikva, Israel",  R&D,,https://careers.cyberark.com/job/IP-Manager-Israel/636133301/
48,Penetration Testing Engineer,"Petach Tikva, Israel",  R&D,,https://careers.cyberark.com/job/Petach-Tikva-Penetration-Tester/640467401/
49,Assistant Controller - Revenue recognition (Recruiter-Shira Rottensterich shitrit),"Petach Tikva, Israel",  Finance,"Certified Public Accountant.
2-3 years of experience in one of the Big4.
Experience with public software companies audit - an advantage.
Experience in revenue recognition according to US GAAP.
Experience with SOX compliance- an advantage.
Highest standards of accuracy and precision; highly organized.
Outstanding attention to details and excellent time management skills.
Very strong analytical skills.
This position requires excellent interpersonal skills and excellent communication skills.
Excellent English (written and verbal).
Service oriented.",https://careers.cyberark.com/job/Petach-Tikva-Assistant-Controller-Revenue-recognition-%28Recruiter-Shira-Rottensterich-shitrit%29/652649001/
50,Enterprise Support Engineer,"Petach Tikva, Israel",  Technical Support,"At least 3 years’ experience in Technical Support or a position of similar nature in a software company.
Capable of understanding the technical aspects of a complex system.
Strong technical troubleshooting skills and problem solving. Demonstrates the ability to think through situations outside the norm and develop appropriate solutions for isolating the root cause.
Must have excellent communication skills and a passion for providing world-class service.
Experience of directly supporting enterprise-level customers.
Ability and desire to learn products and technologies.
Must be able to work independently as well as with others, as part of a domestic and international team.
Proven experience with Microsoft operating systems.
Excellent time management, decision making, prioritization and organization skills.
All communication, internal and external require high level of English.",https://careers.cyberark.com/job/Petach-Tikva-Enterprise-Support-Engineer/649083901/
